Title,Author,Format-Year
,"Iris Acevedo A.; Spanishonline, Costarica",eBook - 2025 | Spanish
,Camila Vega Rivera,eAudiobook - 2025
,Science-Based Language Learning Lab,eAudiobook - 2024
,Science-Based Language Learning Lab,eBook - 2024
,"Bennett, Olivia",eBook - 2024
,"Ramirez, Andres",eBook - 2024
,"Miller, Jackson",eAudiobook - 2024
,"Sharif, Mboya",eBook - 2023 | Spanish
,"World, Spain",eBook - 2023
,"Navarijo, Susie G.",eBook - 2022
,Learn Like a Native,eBook - 2021
,Learn Like a Native,eBook - 2021
,"Michaels, Steven J.",eBook - 2021
,Language Equipped Travelers,eBook - 2021
,"Gardner, James M.",eAudiobook - 2020 | Chinese
,"Gardner, James M.",eAudiobook - 2018
,"Professor, Baby",eBook - 2017
,"Dictionaries, Collins",eBook - 2016 | Spanish
,Various Authors,eBook - 2016
,Various Authors,eBook - 2016
